ts_code,trade_date,total_mv,float_mv,total_share,float_share,free_share,turnover_rate,turnover_rate_f,pe,pe_ttm,pb
000001.SH,20260717,73577146698827.0,57852061278295.0,5895830216838.0,4752065993001.0,1829594979088.0,1.33,3.47,16.3,16.09,1.42
000001.SH,20260716,75546694973455.0,59659235807547.0,5895524110455.0,4751797299086.0,1829484766241.0,1.09,2.84,16.74,16.53,1.46
000001.SH,20260715,76709855814784.0,60732287945271.0,5853696166244.0,4740917158941.0,1818679614743.0,1.18,3.08,17.02,16.8,1.48
000001.SH,20260714,76855999410294.0,60890526385165.0,5853558813415.0,4740813451199.0,1818576070073.0,1.19,3.1,17.06,16.84,1.49
000001.SH,20260713,75919956108212.0,60045389782728.0,5853400448035.0,4740656511156.0,1818505009414.0,1.21,3.16,16.85,16.63,1.47
000001.SH,20260710,77130541209843.0,61254451972418.0,5845785992925.0,4733672650462.0,1816599184182.0,1.29,3.36,17.12,16.9,1.49
000001.SH,20260709,77810007434687.0,61819725217274.0,5844697289599.0,4732752195517.0,1815904197292.0,1.13,2.94,17.27,17.05,1.5
000001.SH,20260708,76652902861122.0,60825451428907.0,5844489899206.0,4732547946147.0,1815786752085.0,1.02,2.65,17.02,16.8,1.48
000001.SH,20260707,76684506595091.0,61078866517139.0,5841548258298.0,4730805607511.0,1814619955407.0,1.05,2.75,17.03,16.8,1.48
000001.SH,20260706,77471927490678.0,61889082385807.0,5841435536745.0,4730691842484.0,1814501190214.0,1.21,3.14,17.2,16.98,1.49
000001.SH,20260703,77307936756605.0,61931033071526.0,5841473312334.0,4730653535465.0,1814472245168.0,1.24,3.22,17.16,16.94,1.49
000001.SH,20260702,77024168594169.0,61672004267524.0,5841236200902.0,4730397136345.0,1814231835670.0,1.36,3.54,17.1,16.88,1.48
000001.SH,20260701,78482011225774.0,62952462385762.0,5841135532559.0,4730345586941.0,1814254182300.0,1.39,3.61,17.42,17.2,1.51
000001.SH,20260630,78177320291633.0,62658265785193.0,5841046660496.0,4729838744817.0,1814088227572.0,1.23,3.21,17.36,17.13,1.5
000001.SH,20260629,77978344449336.0,62345148835610.0,5840941728717.0,4729450009316.0,1813598290843.0,1.36,3.54,17.31,17.09,1.5
000001.SH,20260626,77048782917542.0,61570216888359.0,5840703781076.0,4727902969228.0,1812877644233.0,1.36,3.55,17.11,16.88,1.48
000001.SH,20260625,78778744871733.0,62999486528983.0,5840423541545.0,4727068212861.0,1811917719760.0,1.38,3.61,17.49,17.26,1.51
000001.SH,20260624,78633489483556.0,62838823377116.0,5839570821410.0,4726590413620.0,1811504252310.0,1.33,3.47,17.46,17.23,1.51
000001.SH,20260623,78618923898959.0,62760923988741.0,5838586535998.0,4726305698347.0,1811510602290.0,1.47,3.83,17.45,17.23,1.51
000001.SH,20260622,79601715769209.0,63640047497505.0,5838498452429.0,4726191015557.0,1811187126566.0,1.54,4.01,17.67,17.44,1.53
000001.SH,20260618,78222391399627.0,62502843458397.0,5838307607373.0,4725783806450.0,1811194384334.0,1.35,3.53,17.37,17.14,1.5
000001.SH,20260617,78696404130755.0,62790158062828.0,5837261840381.0,4724820327715.0,1810500253447.0,1.25,3.27,17.47,17.25,1.51
000001.SH,20260616,78415502354603.0,62556501074106.0,5835932092233.0,4723702141463.0,1809710066399.0,1.27,3.32,17.41,17.18,1.5
000001.SH,20260615,78676776537634.0,62594356198325.0,5835862475264.0,4723226246721.0,1809593850407.0,1.4,3.66,17.47,17.24,1.51
000001.SH,20260612,77797861039886.0,61659058348331.0,5851946069166.0,4739561857335.0,1819417409539.0,1.54,4.01,17.44,17.21,1.49
000001.SH,20260611,76990453721726.0,60960120952437.0,5851692395777.0,4739339877406.0,1819240275460.0,1.17,3.05,17.26,17.03,1.47
000001.SH,20260610,77053365801480.0,61045114685085.0,5851082929092.0,4738867006475.0,1818875405271.0,1.23,3.21,17.28,17.05,1.48
000001.SH,20260609,77294299143750.0,61320865082695.0,5847547998574.0,4738359226044.0,1818518016891.0,1.19,3.09,17.33,17.1,1.48
000001.SH,20260608,76493696626083.0,60525883569337.0,5847070795416.0,4735890288243.0,1818475854860.0,1.36,3.54,17.15,16.93,1.46
000001.SH,20260605,77577721921354.0,61573083342540.0,5846808184174.0,4735649422759.0,1818344072132.0,1.37,3.56,17.39,17.17,1.48
000001.SH,20260604,78117813593978.0,62024834643223.0,5845650281669.0,4734885247896.0,1818080958225.0,1.28,3.33,17.53,17.3,1.49
000001.SH,20260603,78617360198512.0,62458979607192.0,5845422075278.0,4734785070598.0,1818034648537.0,1.36,3.55,17.64,17.41,1.5
000001.SH,20260602,78441633511405.0,62309719305807.0,5845547110890.0,4734922556637.0,1818244521084.0,1.33,3.45,17.6,17.37,1.5
000001.SH,20260601,78076630941930.0,62029210150300.0,5845322970684.0,4734202069446.0,1817994366430.0,1.39,3.62,17.52,17.29,1.49
000001.SH,20260529,78246592165990.0,62188243979167.0,5844796578846.0,4733658131537.0,1817672188202.0,1.51,3.92,17.56,17.33,1.5
000001.SH,20260528,78742150824010.0,62612771631933.0,5844167967759.0,4733022665565.0,1817156550585.0,1.28,3.32,17.67,17.44,1.5
000001.SH,20260527,78636285276355.0,62566393219511.0,5844183005332.0,4732395968214.0,1816518338791.0,1.35,3.53,17.65,17.42,1.5
000001.SH,20260526,79615254794959.0,63361313717173.0,5843938180815.0,4732155715573.0,1816300687507.0,1.34,3.5,17.87,17.63,1.52
000001.SH,20260525,79665856084080.0,63456510256278.0,5843438724091.0,4731677280509.0,1816101272551.0,1.27,3.31,17.88,17.64,1.52
000001.SH,20260522,78853009622515.0,62845231933744.0,5843142617420.0,4730493411092.0,1815796956830.0,1.21,3.16,17.7,17.46,1.51
000001.SH,20260521,78273119698379.0,62310907454072.0,5842662740649.0,4730057130351.0,1815640169306.0,1.49,3.89,17.57,17.34,1.49
000001.SH,20260520,79782151143399.0,63591071642207.0,5842568305496.0,4729959727214.0,1814599862277.0,1.27,3.3,17.9,17.67,1.52
000001.SH,20260519,79838493560910.0,63702783576326.0,5841394931753.0,4729441313560.0,1814121776987.0,1.28,3.33,17.92,17.68,1.52
000001.SH,20260518,79139893022131.0,63104033581548.0,5841355494594.0,4729442890917.0,1814174337760.0,1.3,3.38,17.76,17.53,1.51
000001.SH,20260515,79206116492964.0,63154575762912.0,5841097687893.0,4728918051289.0,1814028013583.0,1.52,3.95,17.78,17.54,1.51
000001.SH,20260514,79925230470396.0,63818152193706.0,5841000181375.0,4728866769207.0,1813906666061.0,1.58,4.11,17.94,17.7,1.53
000001.SH,20260513,81008157264854.0,64826649610395.0,5840978755526.0,4728835277071.0,1813837649721.0,1.45,3.78,18.18,17.94,1.55
000001.SH,20260512,80600786766383.0,64411336717888.0,5840894930399.0,4728821740667.0,1813856015215.0,1.48,3.87,18.09,17.85,1.54
000001.SH,20260511,80742262144565.0,64647853482874.0,5862673055648.0,4751003008553.0,1827205792270.0,1.58,4.1,18.16,17.93,1.54
000001.SH,20260508,79968170140798.0,63962614733649.0,5862340239807.0,4749502441199.0,1827232106627.0,1.44,3.74,17.99,17.76,1.52
000001.SH,20260507,80006697608953.0,63974222240772.0,5862128142010.0,4749220575331.0,1827257936530.0,1.42,3.69,18.0,17.77,1.52
000001.SH,20260506,79765039522022.0,63673465419654.0,5862089852877.0,4749138487686.0,1827202641896.0,1.45,3.78,17.94,17.72,1.52
000001.SH,20260430,79041059025926.0,62929673857212.0,5862031201053.0,4749081489415.0,1830353695023.0,1.36,3.54,17.78,17.56,1.51
000001.SH,20260429,78925666823096.0,62925971516660.0,5861828004971.0,4750328632227.0,1829564046058.0,1.28,3.31,17.55,17.47,1.52
000001.SH,20260428,78411741298639.0,62485725333744.0,5861615191523.0,4750195613173.0,1827708409635.0,1.24,3.23,17.43,17.39,1.52
000001.SH,20260427,78446793367074.0,62592430041882.0,5861590754451.0,4750187284753.0,1827293802799.0,1.22,3.17,17.34,17.33,1.52
000001.SH,20260424,78320971276325.0,62495456961589.0,5861427684801.0,4749966205300.0,1825926112379.0,1.25,3.25,17.25,17.23,1.52
000001.SH,20260423,78480473509686.0,62694931586710.0,5861140835856.0,4749865765058.0,1825430366975.0,1.39,3.61,17.29,17.28,1.53
000001.SH,20260422,78698482282299.0,62883998870152.0,5861131336935.0,4749620761637.0,1824991060538.0,1.21,3.14,17.37,17.33,1.53
000001.SH,20260421,78419195034029.0,62548014711879.0,5860974546148.0,4749132984628.0,1824187230139.0,1.19,3.1,17.31,17.31,1.52
000001.SH,20260420,78262029122912.0,62498669565444.0,5860966632877.0,4749122663576.0,1824243592402.0,1.22,3.19,17.28,17.27,1.52
000001.SH,20260417,77639444889994.0,62030453369144.0,5860946574902.0,4748830318235.0,1824291671993.0,1.14,2.96,17.12,17.12,1.51
000001.SH,20260416,77745109748648.0,62075967642160.0,5860845202904.0,4748569324257.0,1824216401003.0,1.13,2.94,17.11,17.11,1.51
000001.SH,20260415,77273658265442.0,61641520453920.0,5860801270384.0,4748410974999.0,1823764490131.0,1.18,3.08,17.02,17.02,1.5
000001.SH,20260414,77227392120203.0,61631713978066.0,5860820219384.0,4747769944847.0,1823144649294.0,1.18,3.08,17.03,17.02,1.5
000001.SH,20260413,76582768332207.0,61048311433865.0,5860817745740.0,4747768884103.0,1822851213382.0,1.13,2.94,16.89,16.87,1.49
000001.SH,20260410,76558508944409.0,61023102224249.0,5862888130036.0,4749484553378.0,1824149980709.0,1.13,2.95,16.88,16.87,1.49
