trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20260717,31751.63,23071.15,181148.72,212399.9,393548.62,54822.78
20260716,31732.52,23104.82,162732.74,193136.68,355869.42,54837.35
20260715,31712.5,23074.45,166377.5,195141.71,361519.21,54786.95
20260714,31667.53,22985.78,182327.83,233576.54,415904.37,54653.31
20260713,31585.48,22957.86,184689.74,233120.89,417810.63,54543.34
20260710,31506.74,22946.22,197704.64,251575.7,449280.34,54452.96
20260709,31540.18,22972.73,182945.71,217822.05,400767.76,54512.91
20260708,31507.7,22906.9,153861.46,184542.66,338404.12,54414.6
20260707,31437.4,22835.26,151697.8,185294.73,336992.53,54272.66
20260706,31419.19,22848.5,174931.33,221405.49,396336.82,54267.69
20260703,31293.66,22768.74,171764.45,219750.8,391515.25,54062.41
20260702,31248.98,22768.05,183990.44,240027.61,424018.05,54017.03
20260630,31226.21,22810.56,160188.93,204263.48,364452.41,54036.77
20260629,31170.47,22807.35,189777.51,236944.69,426722.2,53977.82
20260626,31225.21,22856,175593.52,237547.11,413140.63,54081.21
20260625,31189.35,22916.9,188060.62,235797.34,423857.96,54106.24
20260624,31235.54,22959.44,187730.5,236625.32,424355.82,54194.99
20260623,31102.98,22934.5,201976.99,241994.58,443971.57,54037.48
20260622,31032.13,22901.64,220128.27,262049.14,482177.41,53933.77
20260618,31015.88,22976.09,202318.27,227025.29,429343.56,53991.97
20260617,31019.38,23040.51,174913.28,210142.56,385055.84,54059.89
20260616,31029.74,23062.36,169210.59,213779.66,382990.25,54092.11
20260615,30980.84,23076.63,189698.04,220025,409723.04,54057.48
20260612,30972.12,23064.26,239113.87,251913.84,491027.71,54036.38
20260611,30987.55,23088.25,159596.74,179724.51,339321.25,54075.8
20260610,30991.74,23111.6,166385.91,183486.1,349872.01,54103.34
20260609,30901.55,23119.36,158455.31,202477.62,360932.93,54020.91
20260608,30902.53,23204.51,164559.14,205506.06,370065.2,54107.05
20260605,30802.86,23191.01,179961.34,224809.37,404770.71,53993.87
20260604,30752.98,23265.15,170828.87,194339.96,365168.83,54018.13
20260603,30713.65,23307.64,190613.88,224133.84,414747.72,54021.28
20260602,30551.46,23283,174176.89,201977.44,376154.33,53834.46
20260601,30531.29,23280.94,188235.25,219175.02,407410.27,53812.23
20260529,30502.59,23263.07,221694.07,251711.42,473405.49,53765.66
20260528,30460.37,23286.44,175279.35,208221.55,383500.9,53746.82
20260527,30384.77,23285.96,185532.15,221940.53,407472.68,53670.73
20260526,30368.63,23379.28,177696.15,216969.26,394665.41,53747.9
20260522,30340.01,23417.57,148079.68,184497.33,332577.01,53757.58
20260521,30362.98,23459.53,184237.33,216248.48,400485.81,53822.52
20260520,30375.58,23507.98,165655.75,187558.81,353214.56,53883.57
20260519,30345.6,23480.88,166423.87,192257.57,358681.44,53826.49
20260518,30342.26,23471.57,171238.76,209131.96,380370.72,53813.83
20260515,30361.88,23530.71,203790.09,231548.76,435338.85,53892.59
20260514,30190.37,23452.67,188035.84,225391.42,413427.26,53643.04
20260513,30246.72,23493.44,181510.84,211750.17,393261.01,53740.16
20260512,30241.74,23566.14,190836.94,214706.54,405543.48,53807.88
20260511,30207.67,23592.3,196283.8,227710.69,423994.49,53799.97
20260508,30172.42,23626.84,163362.53,193679.43,357041.96,53799.26
20260507,30071.17,23596.42,173057.14,219246.18,392303.32,53667.58
20260506,30092.12,23623.43,192329.61,221914.95,414244.56,53715.55
20260430,30105.73,23695.47,168876.5,181805.99,350682.49,53801.2
20260429,30004.38,23674.89,153307.23,187934.28,341241.51,53679.28
20260428,29992.37,23726.43,150106.43,183204.97,333311.4,53718.79
20260427,29884.04,23689.52,134872.95,187604.77,322477.72,53573.57
20260424,29835.22,23779.26,148065.7,194824.78,342890.48,53614.49
20260423,29793.53,23786.36,157089.22,196006.04,353095.26,53579.89
20260422,29733.57,23760.34,128854.74,177550.17,306404.91,53493.9
20260421,29691.04,23753.96,124834.59,176208.39,301042.98,53445
20260420,29646.19,23761.43,128976.29,181656.5,310632.79,53407.62
20260417,29637.08,23809.63,127611.49,170452.49,298063.98,53446.71
20260416,29512.96,23763.65,124955.95,167544.54,292500.49,53276.61
20260415,29477.9,23755.81,131066.94,166596.76,297663.7,53233.7
20260414,29456.61,23734.89,127894,167285.08,295179.08,53191.5
20260413,29462.6,23749.06,118298.35,154324.45,272622.8,53211.66
20260410,29419.94,23769.23,121667.9,159105.85,280773.75,53189.17
20260409,29435.71,23781.61,112160.16,147158.1,259318.26,53217.33
20260408,29353.9,23737.5,136840.96,156433.79,293274.75,53091.4
20260402,29489.73,23817.41,96511.2,107651.35,204162.55,53307.14
20260401,29378.89,23729.97,109792.41,119388.68,229181.09,53108.86
