ts_code,trade_date,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
801001.SI,20260702,申万50,4188.6,4094.78,4214.95,4104.26,-212.41,-4.92,1172117.0,61568445.0,26.96,3.75,1226541244.0,2440140098.0
801002.SI,20260702,申万中小,8745.57,8675.97,8866.84,8686.3,-221.7,-2.49,3167447.0,60386455.0,34.08,2.9,864270771.0,1578184523.0
801003.SI,20260702,申万Ａ指,5059.83,5001.74,5124.64,5010.94,-147.92,-2.87,15024701.0,341961512.0,24.67,2.26,5034700090.0,11496862734.0
801005.SI,20260702,申万创业,4604.14,4502.25,4662.98,4513.24,-201.94,-4.28,2605198.0,89516142.0,48.67,5.19,976651718.0,2117095322.0
801010.SI,20260702,农林牧渔,2332.85,2327.98,2379.18,2349.8,12.77,0.55,268390.0,2168114.0,38.4,2.12,53464874.0,113401277.0
801012.SI,20260702,农产品加工,2013.03,1966.53,2073.94,2004.0,-19.92,-0.98,32054.0,313917.0,36.88,1.82,6962615.0,25424637.0
801014.SI,20260702,饲料,3505.53,3441.9,3596.02,3519.4,-0.35,-0.01,60746.0,403112.0,46.47,1.99,9743810.0,20189222.0
801015.SI,20260702,渔业,617.49,612.52,637.34,619.91,2.74,0.44,11050.0,36762.0,129.69,2.12,899366.0,1489639.0
801016.SI,20260702,种植业,2120.1,2100.38,2199.51,2133.01,10.57,0.5,55443.0,324917.0,34.4,2.02,6660183.0,13185023.0
801017.SI,20260702,养殖业,2524.79,2487.04,2588.78,2542.42,18.64,0.74,90204.0,920104.0,34.32,2.28,24152252.0,44899128.0
801018.SI,20260702,动物保健Ⅱ,4131.73,4105.45,4268.13,4188.35,44.72,1.08,6715.0,84359.0,41.05,1.88,3065013.0,5202103.0
801030.SI,20260702,基础化工,4800.28,4773.61,4948.44,4846.34,-30.1,-0.62,1045633.0,22078702.0,32.54,2.47,245663745.0,506419042.0
801032.SI,20260702,化学纤维,4838.37,4749.57,5056.48,4908.98,9.6,0.2,80079.0,769108.0,42.99,1.87,10768218.0,28519189.0
801033.SI,20260702,化学原料,3444.78,3373.71,3593.55,3469.18,-30.46,-0.87,195470.0,2761729.0,31.94,1.82,36540544.0,79780945.0
801034.SI,20260702,化学制品,7427.6,7238.91,7821.6,7554.14,19.42,0.26,397917.0,10650757.0,32.19,2.58,96375593.0,196262181.0
801036.SI,20260702,塑料,5848.46,5710.63,6152.98,5855.38,-165.93,-2.76,152796.0,3633970.0,75.73,4.02,40340422.0,81597546.0
