ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,name
000001.SH,20260717,3764.1547,3865.3165,3869.2148,3745.1744,3882.4126,-118.2579,-3.046,650450984.0,1246445452.8363,上证指数
000001.SH,20260716,3882.4126,3912.3812,3940.4505,3867.6012,3955.5781,-73.1655,-1.8497,535281873.0,1124208166.2138,上证指数
000001.SH,20260715,3955.5781,3963.7267,3981.6716,3943.6953,3967.1262,-11.5481,-0.2911,576209492.0,1226298269.8972,上证指数
000001.SH,20260714,3967.1262,3909.274,3967.1262,3869.3042,3913.794,53.3322,1.3627,579982052.0,1271796839.6785,上证指数
000001.SH,20260713,3913.794,3966.0234,3983.0535,3900.6676,3996.1616,-82.3676,-2.0612,590907356.0,1334871933.909,上证指数
000001.SH,20260710,3996.1616,4031.5373,4074.828,3995.8072,4036.5879,-40.4263,-1.0015,627450065.0,1563108691.5427,上证指数
000001.SH,20260709,4036.5879,3977.5473,4040.5387,3938.8775,3970.8797,65.7082,1.6548,553063980.0,1364176552.6206,上证指数
000001.SH,20260708,3970.8797,3996.8069,4016.0262,3967.9128,3990.2353,-19.3556,-0.4851,496229374.0,1192355798.2157,上证指数
000001.SH,20260707,3990.2353,4019.4942,4028.5139,3971.7126,4041.2382,-51.0029,-1.2621,514453091.0,1196371087.8944,上证指数
000001.SH,20260706,4041.2382,4059.1941,4060.0688,4005.4137,4043.6432,-2.405,-0.0595,590364903.0,1432112821.0992,上证指数
000001.SH,20260703,4043.6432,4031.3351,4073.8802,4027.2553,4028.9038,14.7394,0.3658,602009738.0,1465563104.8537,上证指数
000001.SH,20260702,4028.9038,4054.0857,4093.6777,4019.2147,4112.4453,-83.5415,-2.0314,656233612.0,1577183734.7467,上证指数
000001.SH,20260701,4112.4453,4090.7598,4143.3135,4087.5354,4094.3972,18.0481,0.4408,672331791.0,1698487572.3128,上证指数
000001.SH,20260630,4094.3972,4058.1695,4097.415,4052.17,4073.9017,20.4955,0.5031,598412203.0,1530325961.7252,上证指数
000001.SH,20260629,4073.9017,4026.6858,4075.3343,3992.5522,4027.2648,46.6369,1.158,659199936.0,1666220369.4673,上证指数
000001.SH,20260626,4027.2648,4098.6864,4099.7796,4007.8593,4120.2806,-93.0158,-2.2575,660108666.0,1621195708.6597,上证指数
000001.SH,20260625,4120.2806,4103.4817,4133.0975,4093.0087,4110.8134,9.4672,0.2303,670459917.0,1618996555.0156,上证指数
000001.SH,20260624,4110.8134,4090.1001,4117.2848,4075.4921,4106.2517,4.5617,0.1111,644527518.0,1514193285.0004,上证指数
000001.SH,20260623,4106.2517,4153.593,4175.3476,4085.5908,4163.0965,-56.8448,-1.3654,709003913.0,1594542362.3801,上证指数
000001.SH,20260622,4163.0965,4093.9546,4164.4178,4070.1723,4090.4813,72.6152,1.7752,743699355.0,1704000421.6505,上证指数
000001.SH,20260618,4090.4813,4094.2301,4117.451,4080.2938,4108.0762,-17.5949,-0.4283,658116068.0,1560473972.7154,上证指数
000001.SH,20260617,4108.0762,4074.2913,4109.9579,4073.7319,4091.8917,16.1845,0.3955,608077413.0,1403145909.875,上证指数
000001.SH,20260616,4091.8917,4094.2124,4103.9259,4077.8702,4096.4717,-4.58,-0.1118,615668296.0,1369612989.6744,上证指数
000001.SH,20260615,4096.4717,4053.5822,4097.1657,4051.0651,4031.5129,64.9588,1.6113,678907811.0,1403586231.2391,上证指数
000001.SH,20260612,4031.5129,4017.8648,4060.271,4008.1769,3987.0147,44.4982,1.1161,743131092.0,1537401519.4247,上证指数
000001.SH,20260611,3987.0147,3979.7057,3997.4777,3958.4371,3993.2258,-6.2111,-0.1555,568545244.0,1185554610.7341,上证指数
000001.SH,20260610,3993.2258,3985.1244,4006.3127,3963.4417,4010.0307,-16.8049,-0.4191,598694739.0,1227070067.0914,上证指数
000001.SH,20260609,4010.0307,3977.5394,4010.8715,3955.908,3959.3378,50.6929,1.2803,576570090.0,1173088930.4133,上证指数
000001.SH,20260608,3959.3378,3938.7093,4007.493,3927.8527,4027.7362,-68.3984,-1.6982,659293555.0,1267277235.7119,上证指数
000001.SH,20260605,4027.7362,4044.8292,4078.9317,4015.0629,4057.7811,-30.0449,-0.7404,662918577.0,1363887868.5149,上证指数
000001.SH,20260604,4057.7811,4053.6702,4080.7178,4043.4331,4083.974,-26.1929,-0.6414,621194774.0,1274652182.4071,上证指数
000001.SH,20260603,4083.974,4068.3408,4107.0458,4059.9067,4075.1016,8.8724,0.2177,668452583.0,1429755844.6078,上证指数
000001.SH,20260602,4075.1016,4061.4629,4089.5747,4032.5826,4057.74,17.3616,0.4279,642244656.0,1280966176.1609,上证指数
000001.SH,20260601,4057.74,4067.1578,4093.0405,4045.6898,4068.5691,-10.8291,-0.2662,676025806.0,1319801913.9509,上证指数
000001.SH,20260529,4068.5691,4110.5212,4112.9553,4055.8861,4098.6358,-30.0667,-0.7336,731597710.0,1532067352.9818,上证指数
000001.SH,20260528,4098.6358,4080.3044,4110.7821,4055.8275,4093.7266,4.9092,0.1199,621179950.0,1361325732.8784,上证指数
000001.SH,20260527,4093.7266,4138.8053,4153.5614,4077.616,4145.373,-51.6464,-1.2459,660467399.0,1473449050.9979,上证指数
000001.SH,20260526,4145.373,4137.3196,4150.2888,4104.4593,4152.5686,-7.1956,-0.1733,654777756.0,1461685377.7477,上证指数
000001.SH,20260525,4152.5686,4126.3376,4153.8788,4119.7996,4112.8996,39.669,0.9645,615930861.0,1445655378.3924,上证指数
000001.SH,20260522,4112.8996,4096.1723,4120.0875,4067.7471,4077.2765,35.6231,0.8737,589459644.0,1285847521.7372,上证指数
000001.SH,20260521,4077.2765,4174.3772,4199.5269,4074.2167,4162.1845,-84.908,-2.04,727218701.0,1595726694.7148,上证指数
000001.SH,20260520,4162.1845,4152.6984,4169.8468,4139.9744,4169.5378,-7.3533,-0.1764,624152035.0,1358926939.2202,上证指数
000001.SH,20260519,4169.5378,4122.9608,4170.2887,4107.9944,4131.5276,38.0102,0.92,617611067.0,1306522478.0073,上证指数
000001.SH,20260518,4131.5276,4120.1401,4145.6612,4108.6044,4135.3894,-3.8618,-0.0934,627233137.0,1315084195.4472,上证指数
000001.SH,20260515,4135.3894,4174.175,4191.8068,4114.0856,4177.9175,-42.5281,-1.0179,733162357.0,1519240026.4587,上证指数
000001.SH,20260514,4177.9175,4256.1569,4258.8631,4177.9175,4242.572,-64.6545,-1.5239,764235004.0,1498116800.6216,上证指数
000001.SH,20260513,4242.572,4192.3145,4245.0684,4192.3145,4214.4891,28.0829,0.6663,705018739.0,1447463947.6851,上证指数
000001.SH,20260512,4214.4891,4229.2833,4230.1839,4199.344,4225.0207,-10.5316,-0.2493,718984002.0,1465272590.5791,上证指数
000001.SH,20260511,4225.0207,4201.3465,4229.5795,4186.0819,4179.9524,45.0683,1.0782,762736287.0,1584366746.2392,上证指数
000001.SH,20260508,4179.9524,4163.8537,4183.0631,4154.2456,4180.0922,-0.1398,-0.0033,697019094.0,1331673066.1308,上证指数
000001.SH,20260507,4180.0922,4168.4467,4180.2099,4163.1365,4160.1737,19.9185,0.4788,685574249.0,1359099509.9785,上证指数
000001.SH,20260506,4160.1737,4135.4505,4166.1469,4129.9108,4112.1593,48.0144,1.1676,701177480.0,1465903193.4,上证指数
000001.SH,20260430,4112.1593,4107.2974,4118.7552,4100.9656,4107.5144,4.6449,0.1131,656912728.0,1276194739.0575,上证指数
000001.SH,20260429,4107.5144,4061.8221,4112.1518,4061.8221,4078.6374,28.877,0.708,614221451.0,1126615371.0646,上证指数
000001.SH,20260428,4078.6374,4076.1431,4090.2014,4062.872,4086.3442,-7.7068,-0.1886,600507498.0,1113955561.9355,上证指数
000001.SH,20260427,4086.3442,4074.8109,4092.8305,4071.0803,4079.9004,6.4438,0.1579,589950867.0,1136051921.7098,上证指数
000001.SH,20260424,4079.9004,4081.0326,4092.6131,4061.1453,4093.2501,-13.3497,-0.3261,605031798.0,1143000195.131,上证指数
000001.SH,20260423,4093.2501,4110.7883,4114.8443,4070.4598,4106.2581,-13.008,-0.3168,671166092.0,1234396207.6192,上证指数
000001.SH,20260422,4106.2581,4074.8131,4106.8441,4074.6796,4085.0766,21.1815,0.5185,582466346.0,1093625892.3736,上证指数
000001.SH,20260421,4085.0766,4075.8454,4086.6369,4062.1326,4082.1271,2.9495,0.0723,576689450.0,1033349016.2144,上证指数
000001.SH,20260420,4082.1271,4053.3745,4083.1902,4051.685,4051.4254,30.7017,0.7578,589841379.0,1084578006.427,上证指数
000001.SH,20260417,4051.4254,4043.3813,4058.6041,4038.4287,4055.5468,-4.1214,-0.1016,548791406.0,1013520660.2311,上证指数
000001.SH,20260416,4055.5468,4030.1378,4057.8314,4028.9086,4027.2095,28.3373,0.7036,545876967.0,976565489.6545,上证指数
000001.SH,20260415,4027.2095,4039.4711,4050.6208,4020.9039,4026.6256,0.5839,0.0145,569458589.0,1028851871.4524,上证指数
000001.SH,20260414,4026.6256,4006.7267,4026.6256,3992.4071,3988.558,38.0676,0.9544,570259003.0,998435132.0197,上证指数
000001.SH,20260413,3988.558,3971.1985,3991.2622,3966.1981,3986.2247,2.3333,0.0585,545781768.0,919436481.788,上证指数
000001.SH,20260410,3986.2247,3985.464,4011.0243,3979.814,3966.1712,20.0535,0.5056,546415541.0,955664107.2136,上证指数
000001.SH,20260409,3966.1712,3967.6296,3979.1271,3955.2458,3994.9975,-28.8263,-0.7216,541569801.0,902481840.1008,上证指数
000001.SH,20260408,3994.9975,3930.2507,3994.9975,3926.2489,3890.1645,104.833,2.6948,644135352.0,1074211701.2704,上证指数
000001.SH,20260407,3890.1645,3884.1505,3902.6065,3875.6843,3880.0967,10.0678,0.2595,473615076.0,723905837.2612,上证指数
000001.SH,20260403,3880.0967,3927.5923,3929.5285,3871.3004,3919.2852,-39.1885,-0.9999,492699082.0,713830332.0601,上证指数
000001.SH,20260402,3919.2852,3940.7989,3952.5761,3900.1164,3948.5521,-29.2669,-0.7412,544212835.0,811896566.9717,上证指数
000001.SH,20260401,3948.5521,3939.5658,3955.943,3929.9213,3891.8605,56.6916,1.4567,564611598.0,897278213.909,上证指数
000001.SH,20260331,3891.8605,3924.067,3948.8107,3891.8605,3923.2869,-31.4264,-0.801,606704983.0,891945339.5537,上证指数
000001.SH,20260330,3923.2869,3884.2769,3924.2893,3872.7756,3913.7238,9.5631,0.2443,595589479.0,839822434.6653,上证指数
000001.SH,20260327,3913.7238,3852.0936,3924.1075,3852.0936,3889.0835,24.6403,0.6336,561342963.0,799696430.8856,上证指数
000001.SH,20260326,3889.0835,3924.9621,3937.1041,3880.5729,3931.8375,-42.754,-1.0874,615973981.0,848361335.0723,上证指数
000001.SH,20260325,3931.8375,3892.269,3933.0613,3891.8159,3881.2797,50.5578,1.3026,688343626.0,967854261.2445,上证指数
000001.SH,20260324,3881.2797,3849.6312,3881.4236,3807.9937,3813.2829,67.9968,1.7832,680622039.0,931418842.7114,上证指数
000001.SH,20260323,3813.2829,3904.9513,3906.622,3794.6844,3957.0527,-143.7698,-3.6333,804738850.0,1086248286.0136,上证指数
000001.SH,20260320,3957.0527,4004.5732,4022.7033,3955.7113,4006.5523,-49.4996,-1.2355,666798387.0,964863108.6287,上证指数
000001.SH,20260319,4006.5523,4028.542,4042.0221,3994.1651,4062.9844,-56.4321,-1.3889,667255422.0,935264956.1067,上证指数
000001.SH,20260318,4062.9844,4053.3052,4065.3734,4023.0295,4049.9073,13.0771,0.3229,623873102.0,876327491.3596,上证指数
000001.SH,20260317,4049.9073,4086.2953,4108.4,4049.5801,4084.7858,-34.8785,-0.8539,678771224.0,951228129.2607,上证指数
000001.SH,20260316,4084.7858,4092.2491,4096.1333,4048.0866,4095.4485,-10.6627,-0.2604,732227098.0,1037223833.9626,上证指数
000001.SH,20260313,4095.4485,4117.5738,4134.0794,4086.8469,4129.1026,-33.6541,-0.815,792054764.0,1063918169.3964,上证指数
000001.SH,20260312,4129.1026,4133.1996,4141.6488,4103.1636,4133.4331,-4.3305,-0.1048,786151182.0,1078215329.7731,上证指数
000001.SH,20260311,4133.4331,4123.6663,4135.8392,4112.7998,4123.138,10.2951,0.2497,707727169.0,1063600874.3943,上证指数
000001.SH,20260310,4123.138,4098.5869,4123.9578,4098.5869,4096.6023,26.5357,0.6477,674922194.0,1036427205.2934,上证指数
000001.SH,20260309,4096.6023,4098.6987,4106.5336,4052.5454,4124.194,-27.5917,-0.669,797803556.0,1194106193.2084,上证指数
000001.SH,20260306,4124.194,4085.8954,4129.4647,4085.8954,4108.567,15.627,0.3804,646765760.0,978805927.0539,上证指数
000001.SH,20260305,4108.567,4109.777,4125.6166,4090.6213,4082.474,26.093,0.6391,689746535.0,1068043734.805,上证指数
