trade_date,close_sh,pct_change_sh,close_sz,pct_change_sz,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20260717,3764.15,-3.05,13706.88,-5.4,-156876767232.0,-5.91,-100187557888.0,-3.77,-56689209344.0,-2.14,38244450304.0,1.44,118632316928.0,4.47
20260716,3882.41,-1.85,14488.65,-1.97,-83885834240.0,-3.49,-42946482176.0,-1.79,-40939352064.0,-1.7,16797376512.0,0.7,67088457728.0,2.79
20260715,3955.58,-0.29,14779.4,-0.97,-49793695744.0,-1.94,-37215404032.0,-1.45,-12578291712.0,-0.49,9318428672.0,0.36,40475271168.0,1.57
20260714,3967.13,1.36,14924.87,2.77,10895224832.0,0.4,16155447296.0,0.6,-5260222464.0,-0.19,-27778514944.0,-1.03,16883290112.0,0.62
20260713,3913.79,-2.06,14522.85,-3.48,-169893306368.0,-6.03,-106502647808.0,-3.78,-63390658560.0,-2.25,52130734080.0,1.85,117762572288.0,4.18
20260710,3996.16,-1.0,15046.67,-2.29,-39791411200.0,-1.17,-29097578496.0,-0.86,-10693832704.0,-0.32,6425595904.0,0.19,33365807104.0,0.98
20260709,4036.59,1.65,15398.73,3.07,22458605568.0,0.77,33968738304.0,1.17,-11510132736.0,-0.4,-41330294784.0,-1.42,18871689216.0,0.65
20260708,3970.88,-0.49,14939.73,-1.87,-69823209472.0,-2.72,-35576537088.0,-1.39,-34246672384.0,-1.34,532500480.0,0.02,69290704896.0,2.7
20260707,3990.24,-1.26,15225.11,-1.24,-83400765440.0,-3.23,-46344843264.0,-1.8,-37055922176.0,-1.44,13238075392.0,0.51,70162685952.0,2.72
20260706,4041.24,-0.06,15416.8,-1.16,-87292760064.0,-2.82,-55202635776.0,-1.79,-32090124288.0,-1.04,20630302720.0,0.67,66662465536.0,2.16
20260703,4043.64,0.37,15597.51,0.64,-17591480320.0,-0.55,-5663084544.0,-0.18,-11928395776.0,-0.37,-2171191296.0,-0.07,19762675712.0,0.62
20260702,4028.9,-2.03,15498.81,-3.85,-121796407296.0,-3.53,-83088596992.0,-2.41,-38707810304.0,-1.12,64611680256.0,1.87,57184722944.0,1.66
20260701,4112.45,0.44,16119.17,-0.53,-59577946112.0,-1.63,-46766772224.0,-1.28,-12811173888.0,-0.35,23943110656.0,0.65,35634839552.0,0.97
20260630,4094.4,0.5,16205.56,2.48,41048055808.0,1.25,46272344064.0,1.41,-5224288256.0,-0.16,-33207398400.0,-1.01,-7840657408.0,-0.24
20260629,4073.9,1.16,15812.87,0.19,-49534365696.0,-1.41,-29354967040.0,-0.83,-20179398656.0,-0.57,-1837215744.0,-0.05,51371577344.0,1.46
20260626,4027.26,-2.26,15782.22,-3.44,-173838635008.0,-4.89,-122476199936.0,-3.45,-51362435072.0,-1.45,55453044736.0,1.56,118385590272.0,3.33
20260625,4120.28,0.23,16344.08,1.82,-21444894720.0,-0.6,2163806208.0,0.06,-23608700928.0,-0.66,-16184360960.0,-0.45,37629255680.0,1.05
20260624,4110.81,0.11,16051.32,1.24,13393092608.0,0.41,31434166272.0,0.96,-18041073664.0,-0.55,-24891990016.0,-0.76,11498901504.0,0.35
20260623,4106.25,-1.37,15854.2,-3.17,-157385863168.0,-4.57,-104665960448.0,-3.04,-52719902720.0,-1.53,48047218688.0,1.4,109338636288.0,3.18
20260622,4163.1,1.78,16372.5,2.13,-17462800384.0,-0.47,-6784880640.0,-0.18,-10677919744.0,-0.29,60784640.0,0.0,17402019840.0,0.47
20260618,4090.48,-0.43,16030.7,0.94,-44894674944.0,-1.36,-13339779072.0,-0.4,-31554895872.0,-0.95,-14499520512.0,-0.44,59394195456.0,1.79
