ts_code,name,week_ret_%,close
801950.SI,煤炭,2.79,3048.37
801120.SI,食品饮料,2.72,13576.65
801780.SI,银行,2.69,3903.2
801960.SI,石油石化,2.15,2442.54
801980.SI,美容护理,0.86,3364.96
801010.SI,农林牧渔,0.75,2365.95
801170.SI,交通运输,0.04,1981.68
801040.SI,钢铁,-0.28,2101.23
801790.SI,非银金融,-0.43,1741.16
801110.SI,家用电器,-0.56,8409.09
801150.SI,医药生物,-0.57,7544.07
801160.SI,公用事业,-0.88,2417.37
801200.SI,商贸零售,-1.28,1701.77
801130.SI,纺织服饰,-3.97,1451.49
801180.SI,房地产,-4.78,1801.38
801760.SI,传媒,-5.66,643.12
801720.SI,建筑装饰,-5.7,1877.44
801140.SI,轻工制造,-5.94,1939.55
801210.SI,社会服务,-5.98,6636.1
801880.SI,汽车,-6.41,6228.12
801030.SI,基础化工,-7.43,4040.48
801050.SI,有色金属,-7.6,7265.41
801230.SI,综合,-7.91,4074.7
801730.SI,电力设备,-8.22,8744.66
801970.SI,环保,-8.45,1772.84
801750.SI,计算机,-9.74,4183.77
801710.SI,建筑材料,-11.98,5921.53
801770.SI,通信,-13.14,7261.16
801890.SI,机械设备,-14.39,2113.18
801740.SI,国防军工,-17.15,1529.22
801080.SI,电子,-18.84,8798.2
